year,block,dsl_b,org_type,cin,iso_certified,initial_prod_year,acc_year_from,acc_year_to,months_operation,foreign_share,rd_unit,formal_training
24,B,100001,7,1E+21,2,0,4,32024,0,2,3,2
24,B,100002,1,1E+21,2,2017,4,32024,12,2,3,2
24,B,100003,1,1E+21,2,2020,4,32024,0,2,3,2
24,B,100004,1,1E+21,2,2019,4,32024,5,2,3,2
24,B,100005,1,1E+21,2,2019,4,32024,12,2,3,2
24,B,100006,7,1E+21,2,1987,4,32024,12,2,3,2
24,B,100007,2,1E+21,2,2021,4,32024,12,2,3,2
24,B,100008,1,1E+21,2,2019,4,32024,12,2,3,2
24,B,100009,7,1E+21,2,2019,4,32024,12,2,3,2
24,B,100010,2,1E+21,2,2020,4,32024,12,2,3,2
24,B,100011,2,1E+21,2,1973,4,32024,12,2,3,2
24,B,100012,1,1E+21,2,1990,4,32024,12,2,3,2
24,B,100013,3,1E+21,1,1998,4,32024,12,2,3,2
24,B,100014,1,1E+21,2,2001,4,32024,12,2,3,2
24,B,100015,1,1E+21,2,2013,4,32024,12,2,3,2
24,B,100016,1,1E+21,2,2012,4,32024,12,2,3,2
24,B,100017,2,1E+21,2,2012,4,32024,0,2,3,2
24,B,100018,2,1E+21,2,2012,4,32024,0,2,3,2
24,B,100019,7,1E+21,2,0,4,32024,0,2,3,2
24,B,100020,1,1E+21,1,2021,4,32024,12,2,3,2
24,B,100021,2,1E+21,1,2014,4,32024,12,2,3,2
24,B,100022,7,1E+21,2,2016,4,32024,12,2,3,2
24,B,100023,2,1E+21,2,1990,4,32024,0,2,3,2
24,B,100024,2,1E+21,2,1983,4,32024,12,2,3,2
24,B,100025,6,1E+21,2,1998,4,32024,12,2,3,2
24,B,100026,2,1E+21,2,2005,4,32024,12,2,3,2
24,B,100027,1,1E+21,2,2008,4,32024,9,2,3,2
24,B,100028,1,1E+21,2,2006,4,32024,12,2,3,2
24,B,100029,2,1E+21,2,2013,4,32024,12,2,3,2
24,B,100030,1,1E+21,2,2016,4,32024,12,2,3,2
24,B,100031,7,1E+21,2,2017,4,32024,12,2,3,2
24,B,100032,7,1E+21,2,1999,4,32024,12,2,3,1
24,B,100033,2,1E+21,2,2001,4,32024,0,2,3,2
24,B,100034,8,1E+21,2,2005,4,32024,12,2,3,2
24,B,100035,2,1E+21,2,2008,4,32024,12,2,3,2
24,B,100036,2,1E+21,2,2011,4,32024,12,2,3,2
24,B,100037,6,1E+21,2,2014,4,32024,12,2,3,2
24,B,100038,1,1E+21,2,2016,4,32024,12,2,3,2
24,B,100039,1,1E+21,2,2022,4,32024,8,2,3,2
24,B,100040,1,1E+21,2,2014,4,32024,6,2,3,2
24,B,100041,3,1E+21,2,2023,4,32024,1,2,3,2
24,B,100042,9,1E+21,2,0,4,32024,0,2,3,2
24,B,100043,7,1E+21,2,1980,4,32024,12,2,2,2
24,B,100044,2,1E+21,2,1991,4,32024,12,2,3,2
24,B,100045,2,1E+21,2,1990,4,32024,10,2,3,2
24,B,100046,1,1E+21,2,2009,4,32024,12,2,3,2
24,B,100047,2,1E+21,2,2003,4,32024,12,2,3,2
24,B,100048,1,1E+21,2,1995,4,32024,6,2,3,2
24,B,100049,7,1E+21,2,1996,4,32024,12,2,3,2
24,B,100050,7,1E+21,2,0,4,32024,0,2,3,2
24,B,100051,7,1E+21,1,1995,4,32024,12,2,3,2
24,B,100052,2,1E+21,2,2001,4,32024,12,2,3,2
24,B,100053,2,1E+21,2,1990,4,32024,12,2,3,2
24,B,100054,2,1E+21,2,2012,4,32024,12,2,3,2
24,B,100055,1,1E+21,2,1988,4,32024,0,2,3,2
24,B,100056,6,1E+21,2,2007,4,32024,12,2,3,2
24,B,100057,6,1E+21,2,2007,4,32024,12,2,3,2
24,B,100058,1,1E+21,2,2012,4,32024,12,2,3,2
24,B,100059,1,1E+21,2,2012,4,32024,12,2,3,2
24,B,100060,9,1E+21,2,0,4,32024,0,2,3,2
24,B,100061,7,1E+21,2,2010,4,32024,12,2,3,2
24,B,100062,7,1E+21,2,2019,4,32024,12,2,3,1
24,B,100063,2,1E+21,2,2013,4,32024,7,2,3,2
24,B,100064,2,1E+21,2,2015,4,32024,12,2,3,2
24,B,100065,2,1E+21,2,2015,4,32024,12,2,3,2
24,B,100066,2,1E+21,2,2019,4,32024,12,2,3,2
24,B,100067,7,1E+21,2,2007,4,32024,12,2,3,2
24,B,100068,7,1E+21,2,2012,4,32024,12,2,3,2
24,B,100069,2,1E+21,2,2012,4,32024,0,2,3,2
24,B,100070,9,1E+21,2,2024,4,32024,0,2,3,2
24,B,100071,7,1E+21,1,2024,4,32024,1,2,3,2
24,B,100072,3,1E+21,1,2018,4,32024,12,2,3,2
24,B,100073,7,1E+21,2,1999,4,32024,12,2,3,2
24,B,100074,1,1E+21,2,2003,4,32024,7,2,3,2
24,B,100075,2,1E+21,2,2004,4,32024,12,2,3,2
24,B,100076,7,1E+21,2,2008,4,32024,12,2,3,2
24,B,100077,1,1E+21,2,2012,4,32024,12,2,3,2
24,B,100078,7,1E+21,2,2017,4,32024,12,2,3,2
24,B,100079,6,1E+21,2,2024,4,32024,0,2,3,2
24,B,100080,2,1E+21,2,2009,4,32024,12,2,3,2
24,B,100081,1,1E+21,2,2013,4,32024,12,2,3,2
